type,bandwidth,time
warmup,56.3293,9063376191261601
warmup,164.286,9063376236075583
warmup,154.419,9063376251477231
warmup,159.02,9063376267897386
warmup,164.587,9063376283814367
warmup,149.032,9063376299193742
warmup,163.26,9063376316346674
warmup,163.071,9063376332035301
warmup,141.822,9063376347740439
warmup,153.425,9063376365573379
warmup,159.287,9063376382145215
warmup,161.392,9063376398036308
warmup,161.118,9063376413888681
warmup,161.382,9063376429757598
warmup,164.012,9063376445601362
warmup,163.689,9063376461208260
warmup,163.508,9063376476840918
warmup,162.013,9063376492479048
warmup,162.23,9063376508257052
warmup,164.523,9063376523987791
warmup,162.015,9063376539524704
warmup,162.55,9063376555300948
warmup,163.337,9063376571021543
warmup,162.725,9063376586662201
warmup,162.403,9063376602351596
warmup,160.271,9063376618068767
warmup,160.951,9063376633991764
warmup,163.575,9063376649848105
warmup,163.707,9063376665457851
warmup,162.179,9063376681054221
warmup,164.581,9063376696812416
warmup,164.42,9063376712348049
14:32:15:264:652    &   164.144
14:32:15:280:238    &   163.422
14:32:15:296:220    &   160.234
14:32:15:312:397    &   157.897
14:32:15:328:131    &   162.557
14:32:15:344:343    &   157.706
14:32:15:360:018    &   163.117
14:32:15:375:821    &   161.811
14:32:15:391:531    &   162.76
14:32:15:407:246    &   162.651
14:32:15:422:893    &   163.47
14:32:15:438:550    &   163.373
14:32:15:454:277    &   162.643
14:32:15:470:121    &   161.334
14:32:15:485:882    &   162.268
14:32:15:501:364    &   165.161
14:32:15:516:982    &   163.894
14:32:15:532:586    &   163.925
14:32:15:548:306    &   162.823
14:32:15:564:419    &   158.714
14:32:15:580:238    &   161.565
14:32:15:595:908    &   163.182
14:32:15:611:672    &   162.138
14:32:15:627:288    &   163.79
14:32:15:642:939    &   163.427
14:32:15:659:056    &   158.527
14:32:15:674:777    &   162.433
14:32:15:690:386    &   163.832
14:32:15:706:024    &   163.408
14:32:15:722:264    &   157.269
14:32:15:743:682    &   118.929
14:32:15:761:006    &   147.267
14:32:15:776:710    &   162.724
14:32:15:794:658    &   141.056
14:32:15:811:236    &   153.997
14:32:15:827:339    &   158.715
14:32:15:842:991    &   163.391
14:32:15:858:638    &   163.508
14:32:15:874:363    &   162.583
14:32:15:890:142    &   161.963
14:32:15:905:983    &   161.285
14:32:15:921:494    &   164.847
14:32:15:936:999    &   164.893
14:32:15:952:548    &   164.442
14:32:15:968:281    &   162.547
14:32:15:983:894    &   163.813
14:32:15:999:537    &   163.535
14:32:16:015:286    &   162.352
14:32:16:030:961    &   163.031
14:32:16:046:635    &   163.158
14:32:16:062:958    &   156.56
14:32:16:078:794    &   161.273
14:32:16:094:499    &   162.757
14:32:16:110:090    &   163.947
14:32:16:125:605    &   164.808
14:32:16:141:111    &   164.768
14:32:16:156:956    &   161.293
14:32:16:172:472    &   164.719
14:32:16:188:221    &   162.258
14:32:16:203:840    &   163.673
14:32:16:219:458    &   163.669
14:32:16:235:080    &   163.667
14:32:16:250:967    &   160.936
14:32:16:267:199    &   157.511
14:32:16:282:896    &   162.883
14:32:16:298:526    &   163.635
14:32:16:314:635    &   158.805
14:32:16:330:823    &   157.807
14:32:16:346:928    &   158.674
14:32:16:362:655    &   162.532
14:32:16:378:232    &   164.166
14:32:16:393:852    &   163.789
14:32:16:409:407    &   164.453
14:32:16:424:924    &   165.182
14:32:16:440:402    &   165.34
14:32:16:456:048    &   163.542
14:32:16:472:034    &   159.939
14:32:16:487:711    &   162.995
14:32:16:503:362    &   163.379
14:32:16:519:080    &   162.829
14:32:16:534:846    &   162.219
14:32:16:550:600    &   162.373
14:32:16:566:158    &   164.401
14:32:16:582:284    &   158.568
14:32:16:597:941    &   163.294
14:32:16:613:378    &   165.694
14:32:16:628:848    &   165.528
14:32:16:644:362    &   164.849
14:32:16:659:984    &   163.842
14:32:16:675:872    &   161.004
14:32:16:691:576    &   162.787
14:32:16:707:177    &   163.939
14:32:16:722:794    &   163.781
14:32:16:738:495    &   162.944
14:32:16:754:050    &   164.391
14:32:16:769:592    &   164.517
14:32:16:785:051    &   165.683
14:32:16:800:767    &   162.812
14:32:16:817:550    &   152.135
14:32:16:834:083    &   154.406
14:32:16:849:811    &   162.467
14:32:16:865:680    &   161.107
14:32:16:881:775    &   158.631
14:32:16:898:760    &   151.83
14:32:16:914:382    &   163.141
14:32:16:930:068    &   163.002
14:32:16:945:716    &   163.483
14:32:16:961:225    &   164.964
14:32:16:976:659    &   165.8
14:32:16:992:269    &   163.862
14:32:17:007:925    &   163.245
14:32:17:023:607    &   163.125
14:32:17:039:333    &   162.585
14:32:17:054:961    &   163.6
14:32:17:070:621    &   163.246
14:32:17:086:433    &   161.687
14:32:17:102:044    &   163.537
14:32:17:117:490    &   165.396
14:32:17:132:963    &   165.104
14:32:17:148:608    &   163.415
14:32:17:164:176    &   164.166
